GL,Br,Statutory_GL,Statutory_Type,Transaction_Type,Headers
1001,222,5121-00,Asset,B2BT,NULL
1001,222,5121-00,Asset,CADJ,NULL
1001,222,5121-00,Asset,CLH,NULL
1001,222,5121-00,Asset,DEP,NULL
1001,222,5121-00,Asset,IV,NULL
1001,222,5121-00,Asset,JOE,NULL
1001,222,5121-00,Asset,JOV,NULL
1001,222,5121-00,Asset,OUPA,NULL
1001,222,5121-00,Asset,PMT,NULL
1001,222,5121-00,Asset,RDCS,NULL
1001,222,5121-00,Asset,RRD,NULL
1001,222,5121-00,Asset,XOIP,NULL
1001,222,5121-00,Asset,XOIR,NULL
1001,222,5121-00,Asset,XPMT,NULL
1001,222,5121-00,Asset,YEND,NULL
1002,222,5121-01,Asset,B2BT,NULL
1002,222,5121-01,Asset,CADJ,NULL
1002,222,5121-01,Asset,CLH,NULL
1002,222,5121-01,Asset,DEP,NULL
1002,222,5121-01,Asset,IV,NULL
1002,222,5121-01,Asset,JOE,NULL
1002,222,5121-01,Asset,JOV,NULL
1002,222,5121-01,Asset,OUPA,NULL
1002,222,5121-01,Asset,PMT,NULL
1002,222,5121-01,Asset,RDCS,NULL
1002,222,5121-01,Asset,RRD,NULL
1002,222,5121-01,Asset,XOIP,NULL
1002,222,5121-01,Asset,XOIR,NULL
1002,222,5121-01,Asset,XPMT,NULL
1002,222,5121-01,Asset,YEND,NULL
1003,222,5124-01,Asset,B2BT,NULL
1003,222,5124-01,Asset,CADJ,NULL
1003,222,5124-01,Asset,CLH,NULL
1003,222,5124-01,Asset,DEP,NULL
1003,222,5124-01,Asset,IV,NULL
1003,222,5124-01,Asset,JOE,NULL
1003,222,5124-01,Asset,JOV,NULL
1003,222,5124-01,Asset,OUPA,NULL
1003,222,5124-01,Asset,PMT,NULL
1003,222,5124-01,Asset,RDCS,NULL
1003,222,5124-01,Asset,RRD,NULL
1003,222,5124-01,Asset,XOIP,NULL
1003,222,5124-01,Asset,XOIR,NULL
1003,222,5124-01,Asset,XPMT,NULL
1003,222,5124-01,Asset,YEND,NULL
1004,222,5124-02,Asset,B2BT,NULL
1004,222,5124-02,Asset,CADJ,NULL
1004,222,5124-02,Asset,CLH,NULL
1004,222,5124-02,Asset,DEP,NULL
1004,222,5124-02,Asset,IV,NULL
1004,222,5124-02,Asset,JOE,NULL
1004,222,5124-02,Asset,JOV,NULL
1004,222,5124-02,Asset,OUPA,NULL
1004,222,5124-02,Asset,PMT,NULL
1004,222,5124-02,Asset,RDCS,NULL
1004,222,5124-02,Asset,RRD,NULL
1004,222,5124-02,Asset,XOIP,NULL
1004,222,5124-02,Asset,XOIR,NULL
1004,222,5124-02,Asset,XPMT,NULL
1004,222,5124-02,Asset,YEND,NULL
1005,222,5121-05,Asset,B2BT,NULL
1005,222,5121-05,Asset,CADJ,NULL
1005,222,5121-05,Asset,CLH,NULL
1005,222,5121-05,Asset,DEP,NULL
1005,222,5121-05,Asset,IV,NULL
1005,222,5121-05,Asset,JOE,NULL
1005,222,5121-05,Asset,JOV,NULL
1005,222,5121-05,Asset,OUPA,NULL
1005,222,5121-05,Asset,PMT,NULL
1005,222,5121-05,Asset,RDCS,NULL
1005,222,5121-05,Asset,RRD,NULL
1005,222,5121-05,Asset,XOIP,NULL
1005,222,5121-05,Asset,XOIR,NULL
1005,222,5121-05,Asset,XPMT,NULL
1005,222,5121-05,Asset,YEND,NULL
