id,GL,BR,Statutory_GL,Statutory_Type,Transaction_Types,headers
1,1001,222.0,5121-00,Asset,"[B2BT, CADJ, CLH, DEP, IV, JOE, JOV, OUPA, PMT, RDCS, RRD, XOIP, XOIR, XPMT, YEND]",[]
2,1002,222.0,5121-01,Asset,"[B2BT, CADJ, CLH, DEP, IV, JOE, JOV, OUPA, PMT, RDCS, RRD, XOIP, XOIR, XPMT, YEND]",[]
3,1003,222.0,5124-01,Asset,"[B2BT, CADJ, CLH, DEP, IV, JOE, JOV, OUPA, PMT, RDCS, RRD, XOIP, XOIR, XPMT, YEND]",[]
4,1004,222.0,5124-02,Asset,"[B2BT, CADJ, CLH, DEP, IV, JOE, JOV, OUPA, PMT, RDCS, RRD, XOIP, XOIR, XPMT, YEND]",[]
5,1005,222.0,5121-05,Asset,"[B2BT, CADJ, CLH, DEP, IV, JOE, JOV, OUPA, PMT, RDCS, RRD, XOIP, XOIR, XPMT, YEND]",[]
6,1006,222.0,581,Asset,"[B2BT, CADJ, CLH, DEP, IV, JOE, JOV, OUPA, PMT, RDCS, RRD, XOIP, XOIR, XPMT, YEND]",[]
7,1007,222.0,5121-02,Asset,"[B2BT, CADJ, CLH, IV, JOE, JOV, OUPA, PMT, RDCS, RRD, XOIP, XOIR, XPMT, YEND]",[]
8,1008,222.0,267,Asset,[DEP],[]
9,1008,222.0,5124-03,Asset,"[B2BT, CADJ, CLH, IV, JOE, JOV, OUPA, PMT, RDCS, RRD, XOIP, XOIR, XPMT, YEND]",[]
10,1009,222.0,5124-04,Asset,"[B2BT, CADJ, CLH, DEP, IV, JOV, OUPA, PMT, RDCS, XOIP, XOIR, XPMT]",[]
11,1010,222.0,5124-05,Asset,"[B2BT, CADJ, CLH, DEP, IV, JOV, OUPA, PMT, RDCS, XOIP, XOIR, XPMT]",[]
12,1013,222.0,5121-06,Asset,"[B2BT, DEP, JOE, PMT, RRD, XPMT, YEND]",[]
13,1014,222.0,5121-04,Asset,"[B2BT, CADJ, CLH, DEP, IV, JOE, JOV, OUPA, PMT, RDCS, RRD, XOIP, XOIR, XPMT, YEND]",[]
14,1021,222.0,5121-07,Asset,"[B2BT, CADJ, CLH, DEP, IV, JOE, JOV, OUPA, PMT, RDCS, RRD, XOIP, XOIR, XPMT, YEND]",[]
15,1022,222.0,5121-08,Asset,"[B2BT, CADJ, CLH, DEP, IV, JOV, OUPA, PMT, RDCS, XOIP, XOIR, XPMT]",[]
16,1023,222.0,5124-06,Asset,"[B2BT, CADJ, CLH, DEP, IV, JOV, OUPA, PMT, RDCS, XOIP, XOIR, XPMT]",[]
17,1024,222.0,5124-07,Asset,"[B2BT, CADJ, CLH, DEP, IV, JOV, OUPA, PMT, RDCS, XOIP, XOIR, XPMT]",[]
18,1050,1.0,5121-02,Asset,"[B2BT, DEP, PMT]",[]
19,1080,NULL,5311,"Not Found","[CADJ, CLH, IV, JOE, JOV, OUPA, RDCS, RRD, XOIP, XOIR, YEND]",[]
20,1102,NULL,4426-01,Liability,"[CADJ, CLH, IV, JOE, JOV, OUPA, RCR, RDCS, RIN, RRD, XOIP, XOIR, XRCR, XRIN, YEND]",[]
21,1103,NULL,4426-02,Liability,"[CADJ, CLH, IV, JOE, JOV, OUPA, RCR, RDCS, RIN, RRD, XOIP, XOIR, XRCR, XRIN, YEND]",[]
22,1104,NULL,4428-01,Liability,"[B2BT, CADJ, CLH, DEP, ES, ICR, INV, IS, IV, JOE, JOV, OUPA, PMT, RCR, RDCS, RIN, RRD, XICR, XINV, XOIP, XOIR, XPMT, XRCR, XRIN, YEND]","[RIN/XRCR, RCR/XRIN, INV/XINV, ICR/XICR]"
23,1105,NULL,4423-01,Liability,"[B2BT, PMT, XPMT]",[]
24,1105,NULL,4424-01,Liability,"[CADJ, CLH, DEP, IV, JOE, JOV, OUPA, RDCS, RRD, XOIP, XOIR, YEND]",[]
25,1106,NULL,4426-04,Liability,"[JOE, RCR, RIN, RRD, XRCR, XRIN, YEND]",[]
26,1107,NULL,4426-03,Liability,"[CADJ, CLH, IV, JOE, JOV, OUPA, RCR, RDCS, RIN, RRD, XOIP, XOIR, XRCR, XRIN, YEND]",[]
